Token,Image URL
<img>,./file.php?fileid=548423&width=336&height=530
"src=""./file.php?fileid=548423&width=336&height=530""",./file.php?fileid=548423&width=336&height=530
"alt=""النسخة المطبوعة""",./file.php?fileid=548423&width=336&height=530
"class=""['card_image']""",./file.php?fileid=548423&width=336&height=530
</img>,./file.php?fileid=548423&width=336&height=530
<img>,/images/home-top-images/see_addustour.jpg
"src=""/images/home-top-images/see_addustour.jpg""",/images/home-top-images/see_addustour.jpg
"alt=""شوف الدستور""",/images/home-top-images/see_addustour.jpg
"class=""['card_image']""",/images/home-top-images/see_addustour.jpg
</img>,/images/home-top-images/see_addustour.jpg
<img>,/images/home-top-images/podcast.jpg
"src=""/images/home-top-images/podcast.jpg""",/images/home-top-images/podcast.jpg
"alt=""بودكاست""",/images/home-top-images/podcast.jpg
"class=""['card_image']""",/images/home-top-images/podcast.jpg
</img>,/images/home-top-images/podcast.jpg
<img>,/images/home-top-images/infograph.jpg
"src=""/images/home-top-images/infograph.jpg""",/images/home-top-images/infograph.jpg
"alt=""انفوغراف""",/images/home-top-images/infograph.jpg
"class=""['card_image']""",/images/home-top-images/infograph.jpg
</img>,/images/home-top-images/infograph.jpg
<img>,/images/home-top-images/econimcs-center.jpg
"src=""/images/home-top-images/econimcs-center.jpg""",/images/home-top-images/econimcs-center.jpg
"alt=""مركز الدستور للدراسات الإقتصادية""",/images/home-top-images/econimcs-center.jpg
"class=""['card_image']""",/images/home-top-images/econimcs-center.jpg
</img>,/images/home-top-images/econimcs-center.jpg
<img>,/images/home-top-images/link_king_message.jpg
"src=""/images/home-top-images/link_king_message.jpg""",/images/home-top-images/link_king_message.jpg
"alt=""رسالة جلالة الملك للدستور""",/images/home-top-images/link_king_message.jpg
"class=""['card_image']""",/images/home-top-images/link_king_message.jpg
</img>,/images/home-top-images/link_king_message.jpg
<img>,/file.php?fileid=461708&width=750&height=450
"src=""/file.php?fileid=461708&width=750&height=450""",/file.php?fileid=461708&width=750&height=450
"width=""750""",/file.php?fileid=461708&width=750&height=450
"alt=""الخارجية: إرسال 7 شاحنات إغاثة إلى سوريا""",/file.php?fileid=461708&width=750&height=450
</img>,/file.php?fileid=461708&width=750&height=450
<img>,/file.php?fileid=548462&width=750&height=450
"src=""/file.php?fileid=548462&width=750&height=450""",/file.php?fileid=548462&width=750&height=450
"width=""750""",/file.php?fileid=548462&width=750&height=450
"alt=""الأمن يطيح بمطلوب مرتبط بعصابات وشبكات اقليمية لتهريب المخدرات""",/file.php?fileid=548462&width=750&height=450
</img>,/file.php?fileid=548462&width=750&height=450
<img>,/file.php?fileid=548451&width=750&height=450
"src=""/file.php?fileid=548451&width=750&height=450""",/file.php?fileid=548451&width=750&height=450
"width=""750""",/file.php?fileid=548451&width=750&height=450
"alt=""الخصاونة: لن نقبل بانقطاع المياه عن أي مواطن""",/file.php?fileid=548451&width=750&height=450
</img>,/file.php?fileid=548451&width=750&height=450
<img>,/file.php?fileid=548461&width=750&height=450
"src=""/file.php?fileid=548461&width=750&height=450""",/file.php?fileid=548461&width=750&height=450
"width=""750""",/file.php?fileid=548461&width=750&height=450
"alt=""الملك يضع حجر الأساس لمشروع مركز الحسين للسرطان بالعقبة لخدمة أهالي الجنوب""",/file.php?fileid=548461&width=750&height=450
</img>,/file.php?fileid=548461&width=750&height=450
<img>,/file.php?fileid=548452&width=750&height=450
"src=""/file.php?fileid=548452&width=750&height=450""",/file.php?fileid=548452&width=750&height=450
"width=""750""",/file.php?fileid=548452&width=750&height=450
"alt=""المياه: ضبط وردم 8 آبار مخالفة في الزرقاء""",/file.php?fileid=548452&width=750&height=450
</img>,/file.php?fileid=548452&width=750&height=450
<img>,/file.php?fileid=548451&width=750&height=450
"src=""/file.php?fileid=548451&width=750&height=450""",/file.php?fileid=548451&width=750&height=450
"width=""750""",/file.php?fileid=548451&width=750&height=450
"alt=""رئيس الوزراء يوجه خلال زيارة إلى الكرك بـ""عدم التأخر"" بحل مشاكل المواطنين""",/file.php?fileid=548451&width=750&height=450
</img>,/file.php?fileid=548451&width=750&height=450
<img>,/file.php?fileid=548450&width=750&height=450
"src=""/file.php?fileid=548450&width=750&height=450""",/file.php?fileid=548450&width=750&height=450
"width=""750""",/file.php?fileid=548450&width=750&height=450
"alt=""الأردن يرسل 5 قوافل من المساعدات الإغاثية الطارئة إلى سوريا خلال أسبوع""",/file.php?fileid=548450&width=750&height=450
</img>,/file.php?fileid=548450&width=750&height=450
<img>,/file.php?fileid=548449&width=340&height=220
"src=""/file.php?fileid=548449&width=340&height=220""",/file.php?fileid=548449&width=340&height=220
"width=""340""",/file.php?fileid=548449&width=340&height=220
"alt=""المستقلة للانتخاب تنشر جداول الناخبين المحدّثة - رابط""",/file.php?fileid=548449&width=340&height=220
</img>,/file.php?fileid=548449&width=340&height=220
<img>,/file.php?fileid=548446&width=340&height=220
"src=""/file.php?fileid=548446&width=340&height=220""",/file.php?fileid=548446&width=340&height=220
"width=""340""",/file.php?fileid=548446&width=340&height=220
"alt=""السفير الأردني في رام الله يتسلم  خوذ عسكريين أردنيين وجدت في القدس""",/file.php?fileid=548446&width=340&height=220
</img>,/file.php?fileid=548446&width=340&height=220
<img>,/file.php?fileid=545559&width=340&height=220
"src=""/file.php?fileid=545559&width=340&height=220""",/file.php?fileid=545559&width=340&height=220
"width=""340""",/file.php?fileid=545559&width=340&height=220
"alt=""استقرار أسعار الذهب محلياً عند 37,50 دينارا""",/file.php?fileid=545559&width=340&height=220
</img>,/file.php?fileid=545559&width=340&height=220
<img>,/file.php?fileid=548445&width=340&height=220
"src=""/file.php?fileid=548445&width=340&height=220""",/file.php?fileid=548445&width=340&height=220
"width=""340""",/file.php?fileid=548445&width=340&height=220
